period,period_dot,class
1.247666174,8.9E-16,RADIO PULSAR
0.464212627,1.79752E-15,RADIO PULSAR
1.037931051,1.02E-15,RADIO PULSAR
0.252773323,9E-18,RADIO PULSAR
0.55784066,1.366E-15,RADIO PULSAR
0.390739364,1.2306E-14,RADIO PULSAR
1.498637437,3.66E-15,RADIO PULSAR
0.477993613,3.2418E-15,RADIO PULSAR
0.819926245,1.77965E-14,RADIO PULSAR
0.107386458,8.08342E-14,RADIO PULSAR
0.288541427,5.7E-18,RADIO PULSAR
0.252397929,2.9145E-15,RADIO PULSAR
0.386642928,5.07021E-14,RADIO PULSAR
0.307177663,2.716E-15,RADIO PULSAR
0.354550317,2E-18,RADIO PULSAR
0.463329577,8.6E-17,RADIO PULSAR
0.045248773,8.17E-19,RADIO PULSAR
0.464699749,8.639E-15,RADIO PULSAR
0.107718216,2.1596E-17,RADIO PULSAR
0.242190324,5.94E-16,RADIO PULSAR
1.231304777,1.21937E-14,RADIO PULSAR
0.30151055,3.44E-16,RADIO PULSAR
2.202325077,4.41E-15,RADIO PULSAR
0.661992094,1.2512E-15,RADIO PULSAR
0.0845,,RADIO PULSAR
0.909822701,5.34E-17,RADIO PULSAR
2.133591214,3.765E-14,RADIO PULSAR
0.395354482,2.05679E-15,RADIO PULSAR
0.668105151,3.64E-14,RADIO PULSAR
0.162323476,1.589E-17,RADIO PULSAR
0.366736188,3.9356E-15,RADIO PULSAR
0.452803098,2.13023E-15,RADIO PULSAR
0.961042627,1.26016E-13,RADIO PULSAR
0.087834261,6.98783E-16,RADIO PULSAR
0.73950547,4.92253E-15,RADIO PULSAR
0.369428088,1.1465E-15,RADIO PULSAR
1.643726002,1.454E-13,RADIO PULSAR
0.288349244,6.11E-16,RADIO PULSAR
0.615520458,9.347E-16,RADIO PULSAR
0.897254102,2.603E-16,RADIO PULSAR
1.789829466,1.3E-15,RADIO PULSAR
0.321793347,1.957E-16,RADIO PULSAR
0.128698573,6.8527E-15,RADIO PULSAR
2.642198513,1.256E-14,RADIO PULSAR
0.707867606,7.42E-16,RADIO PULSAR
2.261364513,2.78E-15,RADIO PULSAR
1.122341686,1.86406E-13,RADIO PULSAR
0.194455894,2.12914E-15,RADIO PULSAR
0.647197747,2.6E-17,RADIO PULSAR
0.506568335,4.2E-17,RADIO PULSAR
2.038673825,7.1E-16,RADIO PULSAR
1.18500262,4.3065E-15,RADIO PULSAR
0.004110544,6.42E-21,RADIO PULSAR
0.973458035,2.755E-14,RADIO PULSAR
1.081163527,1.5E-16,RADIO PULSAR
0.612916286,4.2E-16,RADIO PULSAR
0.471224878,8E-17,RADIO PULSAR
0.518757785,4.273E-15,RADIO PULSAR
0.341212812,4.5498E-15,RADIO PULSAR
3.559937232,1.11E-14,RADIO PULSAR
0.35326292,2.2E-17,RADIO PULSAR
0.497772394,4.7E-17,RADIO PULSAR
0.7375,,RADIO PULSAR
0.003726348,2.08536E-20,RADIO PULSAR
0.286648256,6.09372E-15,RADIO PULSAR
0.139881678,5.7368E-14,RADIO PULSAR
0.491518804,4.69408E-14,RADIO PULSAR
0.676081894,5.76E-16,RADIO PULSAR
0.004291146,7.45E-21,RADIO PULSAR
0.288416774,2.65482E-14,RADIO PULSAR
1.116174457,3.56357E-13,RADIO PULSAR
1.672372343,1.428E-15,RADIO PULSAR
0.496077113,2.795E-15,RADIO PULSAR
0.670026298,5.3E-17,RADIO PULSAR
0.808164371,3.96051E-14,RADIO PULSAR
0.535504398,1.8286E-15,RADIO PULSAR
0.430464124,2.78E-15,RADIO PULSAR
0.217922882,1.93E-18,RADIO PULSAR
1.373654387,4.23E-15,RADIO PULSAR
0.617574685,1.198E-15,RADIO PULSAR
0.224201191,4.1E-17,RADIO PULSAR
1.427,,RADIO PULSAR
0.185559973,9E-18,RADIO PULSAR
0.843980397,7.12E-15,RADIO PULSAR
0.782948566,1.7E-16,RADIO PULSAR
0.558254373,2.0608E-15,RADIO PULSAR
0.301887897,1.23E-16,RADIO PULSAR
0.522977086,,RADIO PULSAR
0.175166247,6.8E-17,RADIO PULSAR
0.243395151,4.84784E-15,RADIO PULSAR
0.034117131,6.8E-20,RADIO PULSAR
0.078218549,3.895E-14,RADIO PULSAR
1.908494491,7.3118E-15,RADIO PULSAR
0.4129852,5.529E-15,RADIO PULSAR
0.50346262,3.1398E-15,RADIO PULSAR
0.822248731,4.1E-15,RADIO PULSAR
0.170937956,1.07329E-14,RADIO PULSAR
1.33230972,2.12E-15,RADIO PULSAR
0.280348662,1.16E-16,RADIO PULSAR
,,RADIO PULSAR
0.777500907,1.57E-15,RADIO PULSAR
0.279767869,7.25322E-16,RADIO PULSAR
1.66117674,8.6E-16,RADIO PULSAR
1.018452868,2.0634E-15,RADIO PULSAR
0.770374846,7.8E-16,RADIO PULSAR
0.613570704,1.698E-15,RADIO PULSAR
0.664388681,2.2678E-14,RADIO PULSAR
1.048718554,1.12685E-14,RADIO PULSAR
0.104675902,3.20705E-15,RADIO PULSAR
0.352464213,7.38E-16,RADIO PULSAR
3.467301517,7.75E-15,RADIO PULSAR
0.011359882,1.314E-19,RADIO PULSAR
0.957266839,1.9915E-14,RADIO PULSAR
0.791525716,1.9993E-15,RADIO PULSAR
0.685358486,4.85E-16,RADIO PULSAR
0.295837553,7.502E-14,RADIO PULSAR
0.57029241,2.08657E-15,RADIO PULSAR
0.006907549,9.6E-21,RADIO PULSAR
1.389604688,3.3E-15,RADIO PULSAR
0.364713249,8.2266E-15,RADIO PULSAR
0.355156037,8.96E-18,RADIO PULSAR
