            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2350462.500000000, A.D. 1723-Apr-01 00:00:00.0000, -9.683415955830816E-01, -2.515088599007410E-01, -2.040707961023743E-04,
2350492.500000000, A.D. 1723-May-01 00:00:00.0000, -7.274010105870230E-01, -6.987900608683330E-01, -4.733188300917296E-04,
2350523.500000000, A.D. 1723-Jun-01 00:00:00.0000, -2.851010723482429E-01, -9.738799326945727E-01, -6.258889533965309E-04,
2350553.500000000, A.D. 1723-Jul-01 00:00:00.0000,  2.169100253782603E-01, -9.934402851452825E-01, -6.150681205613920E-04,
2350584.500000000, A.D. 1723-Aug-01 00:00:00.0000,  6.776882066112107E-01, -7.550277489699593E-01, -4.441209313787804E-04,
2350615.500000000, A.D. 1723-Sep-01 00:00:00.0000,  9.576558940047112E-01, -3.156269519533196E-01, -1.539906056909932E-04,
2350645.500000000, A.D. 1723-Oct-01 00:00:00.0000,  9.814479854835715E-01,  1.920635213085663E-01,  1.676901565774135E-04,
2350676.500000000, A.D. 1723-Nov-01 00:00:00.0000,  7.380623242083558E-01,  6.620180151922108E-01,  4.536439514203925E-04,
2350706.500000000, A.D. 1723-Dec-01 00:00:00.0000,  3.017103966118025E-01,  9.380450369613668E-01,  6.073192737967092E-04,
2350737.500000000, A.D. 1724-Jan-01 00:00:00.0000, -2.333671162976759E-01,  9.550881229127975E-01,  5.923376032347028E-04,
2350768.500000000, A.D. 1724-Feb-01 00:00:00.0000, -7.004270711279814E-01,  6.937230238524608E-01,  4.034123524164769E-04,
2350797.500000000, A.D. 1724-Mar-01 00:00:00.0000, -9.559711674636349E-01,  2.648663436690171E-01,  1.197175109702323E-04,
2350828.500000000, A.D. 1724-Apr-01 00:00:00.0000, -9.652050584420927E-01, -2.639705348181920E-01, -2.158217841424174E-04,
2350858.500000000, A.D. 1724-May-01 00:00:00.0000, -7.186202503872737E-01, -7.080385477984634E-01, -4.838968252872174E-04,
2350889.500000000, A.D. 1724-Jun-01 00:00:00.0000, -2.729500075686885E-01, -9.774285470849786E-01, -6.308703782730375E-04,
2350919.500000000, A.D. 1724-Jul-01 00:00:00.0000,  2.292107588298058E-01, -9.906397842789996E-01, -6.130945736685099E-04,
2350950.500000000, A.D. 1724-Aug-01 00:00:00.0000,  6.869256570077935E-01, -7.464269549834126E-01, -4.347334458856326E-04,
2350981.500000000, A.D. 1724-Sep-01 00:00:00.0000,  9.613220055515579E-01, -3.034871083577206E-01, -1.417586616415738E-04,
2351011.500000000, A.D. 1724-Oct-01 00:00:00.0000,  9.786466183547657E-01,  2.045362243762810E-01,  1.772068832293091E-04,
2351042.500000000, A.D. 1724-Nov-01 00:00:00.0000,  7.292202781230435E-01,  6.713843398829482E-01,  4.556501246741127E-04,
2351072.500000000, A.D. 1724-Dec-01 00:00:00.0000,  2.892989673735183E-01,  9.417736762226575E-01,  6.021627477691538E-04,
2351103.500000000, A.D. 1725-Jan-01 00:00:00.0000, -2.459440781046743E-01,  9.518806284001069E-01,  5.815224200557813E-04,
2351134.500000000, A.D. 1725-Feb-01 00:00:00.0000, -7.095326208817770E-01,  6.845219709271649E-01,  3.926487566748780E-04,
2351162.500000000, A.D. 1725-Mar-01 00:00:00.0000, -9.546664224017047E-01,  2.691247075333998E-01,  1.212716188301541E-04,
2351193.500000000, A.D. 1725-Apr-01 00:00:00.0000, -9.662694209787460E-01, -2.596807676176613E-01, -2.080223456292326E-04,
2351223.500000000, A.D. 1725-May-01 00:00:00.0000, -7.216504254243766E-01, -7.048542103192542E-01, -4.733077391632962E-04,
2351254.500000000, A.D. 1725-Jun-01 00:00:00.0000, -2.771811682662452E-01, -9.762218269293736E-01, -6.208942803553896E-04,
2351284.500000000, A.D. 1725-Jul-01 00:00:00.0000,  2.249029540620122E-01, -9.916494135023143E-01, -6.071328646750397E-04,
2351315.500000000, A.D. 1725-Aug-01 00:00:00.0000,  6.836807261811377E-01, -7.494778166556945E-01, -4.359872702304150E-04,
2351346.500000000, A.D. 1725-Sep-01 00:00:00.0000,  9.600455183328415E-01, -3.077658514799850E-01, -1.490720307260520E-04,
